tenant_id,avg_debt,complaint_count,rental_duration,resolved_complaints,region
330,2150,2,12,1,E
331,1000,4,36,3,F
332,1050,4,30,3,F
333,1100,4,24,3,F
334,1150,4,18,2,F
335,1200,4,12,2,F
336,1250,4,36,3,F
337,1300,4,30,3,F
338,1350,4,24,3,F
339,1400,4,18,2,F
340,1450,4,12,2,F
341,800,0,36,0,C
342,850,0,30,0,C
343,900,0,24,0,C
344,950,0,18,0,C
345,1000,0,12,0,C
346,1050,0,36,0,C
347,1100,0,30,0,C
348,1150,0,24,0,C
349,1200,0,18,0,C
350,1250,0,12,0,C
351,1500,5,36,5,D
352,1550,5,30,5,D
353,1600,5,24,5,D
354,1650,5,18,4,D
355,1700,5,12,4,D
356,1750,5,36,5,D
357,1800,5,30,5,D
358,1850,5,24,4,D
359,1900,5,18,4,D
360,1950,5,12,4,D
361,2000,1,36,1,E
362,2050,1,30,1,E
363,2100,1,24,1,E
364,2150,1,18,1,E
365,2200,1,12,1,E
366,2250,1,36,1,E
367,2300,1,30,1,E
368,2350,1,24,1,E
369,2400,1,18,1,E
370,2450,1,12,1,E
371,1300,2,36,2,F
372,1350,2,30,2,F
373,1400,2,24,2,F
374,1450,2,18,2,F
375,1500,2,12,2,F
376,1550,2,36,2,F
377,1600,2,30,2,F
378,1650,2,24,2,F
379,1700,2,18,2,F
380,1750,2,12,2,F
381,1800,3,36,3,C
382,1850,3,30,3,C
383,1900,3,24,3,C
384,1950,3,18,2,C
385,2000,3,12,2,C
386,2050,3,36,3,C
387,2100,3,30,3,C
388,2150,3,24,2,C
389,2200,3,18,2,C
390,2250,3,12,2,C
391,2300,4,36,4,D
392,2350,4,30,4,D
393,2400,4,24,4,D
394,2450,4,18,3,D
395,2500,4,12,3,D
396,2550,4,36,4,D
397,2600,4,30,4,D
398,2650,4,24,3,D
399,2700,4,18,3,D
400,2750,4,12,3,D
401,1000,3,36,2,E
402,1050,3,30,2,E
403,1100,3,24,2,E
404,1150,3,18,1,E
405,1200,3,12,1,E
406,1250,3,36,2,E
407,1300,3,30,2,E
408,1350,3,24,2,E
409,1400,3,18,1,E
410,1450,3,12,1,E
411,1500,2,36,2,F
412,1550,2,30,2,F
413,1600,2,24,2,F
414,1650,2,18,1,F
415,1700,2,12,1,F
416,1750,2,36,2,F
417,1800,2,30,2,F
418,1850,2,24,2,F
419,1900,2,18,1,F
420,1950,2,12,1,F
421,2000,4,36,3,C
422,2050,4,30,3,C
423,2100,4,24,3,C
424,2150,4,18,2,C
425,2200,4,12,2,C
426,2250,4,36,3,C
427,2300,4,30,3,C
428,2350,4,24,2,C
429,2400,4,18,2,C
430,2450,4,12,2,C
431,2500,1,36,1,D
432,2550,1,30,1,D
433,2600,1,24,1,D
434,2650,1,18,1,D
435,2700,1,12,1,D
436,2750,1,36,1,D
437,2800,1,30,1,D
438,2850,1,24,1,D
439,2900,1,18,1,D
440,2950,1,12,1,D
441,1200,5,36,5,E
442,1250,5,30,5,E
443,1300,5,24,5,E
444,1350,5,18,4,E
445,1400,5,12,4,E
446,1450,5,36,5,E
447,1500,5,30,5,E
448,1550,5,24,4,E
449,1600,5,18,4,E
450,1650,5,12,4,E
451,1700,0,36,0,F
452,1750,0,30,0,F
453,1800,0,24,0,F
454,1850,0,18,0,F
455,1900,0,12,0,F
456,1950,0,36,0,F
457,2000,0,30,0,F
458,2050,0,24,0,F
459,2100,0,18,0,F
460,2150,0,12,0,F
461,2200,2,36,1,C
462,2250,2,30,1,C
463,2300,2,24,1,C
464,2350,2,18,1,C
465,2400,2,12,1,C
466,2450,2,36,2,C
467,2500,2,30,2,C
468,2550,2,24,2,C
469,2600,2,18,1,C
470,2650,2,12,1,C
471,2700,3,36,2,D
472,2750,3,30,2,D
473,2800,3,24,2,D
474,2850,3,18,2,D
475,2900,3,12,2,D
476,2950,3,36,3,D
477,3000,3,30,3,D
478,3050,3,24,3,D
479,3100,3,18,2,D
480,3150,3,12,2,D
481,3200,4,36,3,E
482,3250,4,30,3,E
483,3300,4,24,3,E
484,3350,4,18,3,E
485,3400,4,12,2,E
486,3450,4,36,3,E
487,3500,4,30,3,E
488,3550,4,24,3,E
489,3600,4,18,3,E
490,3650,4,12,2,E
491,3700,1,36,1,F
492,3750,1,30,1,F
493,3800,1,24,1,F
494,3850,1,18,1,F
495,3900,1,12,1,F
496,3950,1,36,1,F
497,4000,1,30,1,F
498,4050,1,24,1,F
499,4100,1,18,1,F
500,4150,1,12,1,F
501,4200,2,36,2,C
502,4250,2,30,2,C
503,4300,2,24,2,C
504,4350,2,18,2,C
505,4400,2,12,2,C
506,4450,2,36,2,C
507,4500,2,30,2,C
508,4550,2,24,2,C
509,4600,2,18,2,C
510,4650,2,12,2,C
511,4700,5,36,5,D
512,4750,5,30,5,D
513,4800,5,24,5,D
514,4850,5,18,4,D
515,4900,5,12,4,D
516,4950,5,36,5,D
517,5000,5,30,5,D
518,5050,5,24,4,D
519,5100,5,18,4,D
520,5150,5,12,4,D
521,1000,0,36,0,E
522,1050,0,30,0,E
523,1100,0,24,0,E
524,1150,0,18,0,E
525,1200,0,12,0,E
526,1250,0,36,0,E
527,1300,0,30,0,E
528,1350,0,24,0,E
529,1400,0,18,0,E
530,1450,0,12,0,E
531,1500,3,36,3,F
532,1550,3,30,3,F
533,1600,3,24,3,F
534,1650,3,18,3,F
535,1700,3,12,3,F
536,1750,3,36,3,F
537,1800,3,30,3,F
538,1850,3,24,3,F
539,1900,3,18,3,F
540,1950,3,12,3,F
541,2000,1,36,1,C
542,2050,1,30,1,C
543,2100,1,24,1,C
544,2150,1,18,1,C
545,2200,1,12,1,C
546,2250,1,36,1,C
547,2300,1,30,1,C
548,2350,1,24,1,C
549,2400,1,18,1,C
550,2450,1,12,1,C
551,2500,2,36,2,D
552,2550,2,30,2,D
553,2600,2,24,2,D
554,2650,2,18,2,D
555,2700,2,12,2,D
556,2750,2,36,2,D
557,2800,2,30,2,D
558,2850,2,24,2,D
559,2900,2,18,2,D
560,2950,2,12,2,D
561,3000,4,36,4,E
562,3050,4,30,4,E
563,3100,4,24,4,E
564,3150,4,18,4,E
565,3200,4,12,4,E
566,3250,4,36,4,E
567,3300,4,30,4,E
568,3350,4,24,4,E
569,3400,4,18,4,E
570,3450,4,12,4,E
571,3500,0,36,0,F
572,3550,0,30,0,F
573,3600,0,24,0,F
574,3650,0,18,0,F
575,3700,0,12,0,F
576,3750,0,36,0,F
577,3800,0,30,0,F
578,3850,0,24,0,F
579,3900,0,18,0,F
580,3950,0,12,0,F
581,4000,3,36,3,C
582,4050,3,30,3,C
583,4100,3,24,3,C
584,4150,3,18,3,C
585,4200,3,12,3,C
586,4250,3,36,3,C
587,4300,3,30,3,C
588,4350,3,24,3,C
589,4400,3,18,3,C
590,4450,3,12,3,C
591,4500,5,36,5,D
592,4550,5,30,5,D
593,4600,5,24,5,D
594,4650,5,18,5,D
595,4700,5,12,5,D
596,4750,5,36,5,D
597,4800,5,30,5,D
598,4850,5,24,5,D
599,4900,5,18,5,D
600,4950,5,12,5,D
601,500,2,36,2,E
602,550,2,30,2,E
603,600,2,24,2,E
604,650,2,18,2,E
605,700,2,12,2,E
606,750,2,36,2,E
607,800,2,30,2,E
608,850,2,24,2,E
609,900,2,18,2,E
610,950,2,12,2,E
611,1000,3,36,3,F
612,1050,3,30,3,F
613,1100,3,24,3,F
614,1150,3,18,3,F
615,1200,3,12,3,F
616,1250,3,36,3,F
617,1300,3,30,3,F
618,1350,3,24,3,F
619,1400,3,18,3,F
620,1450,3,12,3,F
621,1500,1,36,1,C
622,1550,1,30,1,C
623,1600,1,24,1,C
624,1650,1,18,1,C
625,1700,1,12,1,C
626,1750,1,36,1,C
627,1800,1,30,1,C
628,1850,1,24,1,C
629,1900,1,18,1,C
630,1950,1,12,1,C
631,2000,2,36,2,D
632,2050,2,30,2,D
633,2100,2,24,2,D
634,2150,2,18,2,D
635,2200,2,12,2,D
636,2250,2,36,2,D
637,2300,2,30,2,D
638,2350,2,24,2,D
639,2400,2,18,2,D
640,2450,2,12,2,D
641,2500,4,36,4,E
642,2550,4,30,4,E
643,2600,4,24,4,E
644,2650,4,18,4,E
645,2700,4,12,4,E
646,2750,4,36,4,E
647,2800,4,30,4,E
648,2850,4,24,4,E
649,2900,4,18,4,E
650,2950,4,12,4,E
651,3000,0,36,0,F
652,3050,0,30,0,F
653,3100,0,24,0,F
654,3150,0,18,0,F
655,3200,0,12,0,F
656,3250,0,36,0,F
657,3300,0,30,0,F
658,3350,0,24,0,F
659,3400,0,18,0,F
660,3450,0,12,0,F
661,3500,3,36,3,C
662,3550,3,30,3,C
663,3600,3,24,3,C
664,3650,3,18,3,C
665,3700,3,12,3,C
666,3750,3,36,3,C
667,3800,3,30,3,C
668,3850,3,24,3,C
669,3900,3,18,3,C
670,3950,3,12,3,C
671,4000,5,36,5,D
672,4050,5,30,5,D
673,4100,5,24,5,D
674,4150,5,18,5,D
675,4200,5,12,5,D
676,4250,5,36,5,D
677,4300,5,30,5,D
678,4350,5,24,5,D
679,4400,5,18,5,D
680,4450,5,12,5,D
681,1000,1,36,0,E
682,1050,1,30,0,E
683,1100,1,24,0,E
684,1150,1,18,0,E
685,1200,1,12,0,E
686,1250,1,36,0,E
687,1300,1,30,0,E
688,1350,1,24,0,E
689,1400,1,18,0,E
690,1450,1,12,0,E
691,1500,2,36,2,F
692,1550,2,30,2,F
693,1600,2,24,2,F
694,1650,2,18,2,F
695,1700,2,12,2,F
696,1750,2,36,2,F
697,1800,2,30,2,F
698,1850,2,24,2,F
699,1900,2,18,2,F
700,1950,2,12,2,F
701,2000,4,36,4,C
702,2050,4,30,4,C
703,2100,4,24,4,C
704,2150,4,18,4,C
705,2200,4,12,4,C
706,2250,4,36,4,C
707,2300,4,30,4,C
708,2350,4,24,4,C
709,2400,4,18,4,C
710,2450,4,12,4,C
711,2500,3,36,3,D
712,2550,3,30,3,D
713,2600,3,24,3,D
714,2650,3,18,3,D
715,2700,3,12,3,D
716,2750,3,36,3,D
717,2800,3,30,3,D
718,2850,3,24,3,D
719,2900,3,18,3,D
720,2950,3,12,3,D
721,3000,5,36,5,E
722,3050,5,30,5,E
723,3100,5,24,5,E
724,3150,5,18,5,E
725,3200,5,12,5,E
726,3250,5,36,5,E
727,3300,5,30,5,E
728,3350,5,24,5,E
729,3400,5,18,5,E
730,3450,5,12,5,E
731,3500,1,36,1,F
732,3550,1,30,1,F
733,3600,1,24,1,F
734,3650,1,18,1,F
735,3700,1,12,1,F
736,3750,1,36,1,F
737,3800,1,30,1,F
738,3850,1,24,1,F
739,3900,1,18,1,F
740,3950,1,12,1,F
741,4000,2,36,2,C
742,4050,2,30,2,C
743,4100,2,24,2,C
744,4150,2,18,2,C
745,4200,2,12,2,C
746,4250,2,36,2,C
747,4300,2,30,2,C
748,4350,2,24,2,C
749,4400,2,18,2,C
750,4450,2,12,2,C
751,4500,4,36,4,D
752,4550,4,30,4,D
753,4600,4,24,4,D
754,4650,4,18,4,D
755,4700,4,12,4,D
756,4750,4,36,4,D
757,4800,4,30,4,D
758,4850,4,24,4,D
759,4900,4,18,4,D
760,4950,4,12,4,D
761,5000,0,36,0,E
762,5050,0,30,0,E
763,5100,0,24,0,E
764,5150,0,18,0,E
765,5200,0,12,0,E
766,5250,0,36,0,E
767,5300,0,30,0,E
768,5350,0,24,0,E
769,5400,0,18,0,E
770,5450,0,12,0,E
771,5500,3,36,3,F
772,5550,3,30,3,F
773,5600,3,24,3,F
774,5650,3,18,3,F
775,5700,3,12,3,F
776,5750,3,36,3,F
777,5800,3,30,3,F
778,5850,3,24,3,F
779,5900,3,18,3,F
780,5950,3,12,3,F
781,6000,2,36,2,C
782,6050,2,30,2,C
783,6100,2,24,2,C
784,6150,2,18,2,C
785,6200,2,12,2,C
786,6250,2,36,2,C
787,6300,2,30,2,C
788,6350,2,24,2,C
789,6400,2,18,2,C
790,6450,2,12,2,C
791,6500,5,36,5,D
792,6550,5,30,5,D
793,6600,5,24,5,D
794,6650,5,18,5,D
795,6700,5,12,5,D
796,6750,5,36,5,D
797,6800,5,30,5,D
798,6850,5,24,5,D
799,6900,5,18,5,D
800,6950,5,12,5,D
801,7000,1,36,1,E
802,7050,1,30,1,E
803,7100,1,24,1,E
804,7150,1,18,1,E
805,7200,1,12,1,E
806,7250,1,36,1,E
807,7300,1,30,1,E
808,7350,1,24,1,E
809,7400,1,18,1,E
810,7450,1,12,1,E
811,7500,2,36,2,F
812,7550,2,30,2,F
813,7600,2,24,2,F
814,7650,2,18,2,F
815,7700,2,12,2,F
816,7750,2,36,2,F
817,7800,2,30,2,F
818,7850,2,24,2,F
819,7900,2,18,2,F
820,7950,2,12,2,F
821,8000,3,36,3,C
822,8050,3,30,3,C
823,8100,3,24,3,C
824,8150,3,18,3,C
825,8200,3,12,3,C
826,8250,3,36,3,C
827,8300,3,30,3,C
828,8350,3,24,3,C
829,8400,3,18,3,C
830,8450,3,12,3,C
831,8500,4,36,4,D
832,8550,4,30,4,D
833,8600,4,24,4,D
834,8650,4,18,4,D
835,8700,4,12,4,D
836,8750,4,36,4,D
837,8800,4,30,4,D
838,8850,4,24,4,D
839,8900,4,18,4,D
840,8950,4,12,4,D
841,9000,0,36,0,E
842,9050,0,30,0,E
843,9100,0,24,0,E
844,9150,0,18,0,E
845,9200,0,12,0,E
846,9250,0,36,0,E
847,9300,0,30,0,E
848,9350,0,24,0,E
849,9400,0,18,0,E
850,9450,0,12,0,E
851,9500,5,36,5,F
852,9550,5,30,5,F
853,9600,5,24,5,F
854,9650,5,18,5,F
855,9700,5,12,5,F
856,9750,5,36,5,F
857,9800,5,30,5,F
858,9850,5,24,5,F
859,9900,5,18,5,F
860,9950,5,12,5,F
861,10000,1,36,1,C
862,10050,1,30,1,C
863,10100,1,24,1,C
864,10150,1,18,1,C
865,10200,1,12,1,C
866,10250,1,36,1,C
867,10300,1,30,1,C
868,10350,1,24,1,C
869,10400,1,18,1,C
870,10450,1,12,1,C
871,10500,2,36,2,D
872,10550,2,30,2,D
873,10600,2,24,2,D
874,10650,2,18,2,D
875,10700,2,12,2,D
876,10750,2,36,2,D
877,10800,2,30,2,D
878,10850,2,24,2,D
879,10900,2,18,2,D
880,10950,2,12,2,D
881,11000,3,36,3,E
882,11050,3,30,3,E
883,11100,3,24,3,E
884,11150,3,18,3,E
885,11200,3,12,3,E
886,11250,3,36,3,E
887,11300,3,30,3,E
888,11350,3,24,3,E
889,11400,3,18,3,E
890,11450,3,12,3,E
891,11500,4,36,4,F
892,11550,4,30,4,F
893,11600,4,24,4,F
894,11650,4,18,4,F
895,11700,4,12,4,F
896,11750,4,36,4,F
897,11800,4,30,4,F
898,11850,4,24,4,F
899,11900,4,18,4,F
900,11950,4,12,4,F
901,12000,5,36,5,C
902,12050,5,30,5,C
903,12100,5,24,5,C
904,12150,5,18,5,C
905,12200,5,12,5,C
906,12250,5,36,5,C
907,12300,5,30,5,C
908,12350,5,24,5,C
909,12400,5,18,5,C
910,12450,5,12,5,C
911,12500,0,36,0,D
912,12550,0,30,0,D
913,12600,0,24,0,D
914,12650,0,18,0,D
915,12700,0,12,0,D
916,12750,0,36,0,D
917,12800,0,30,0,D
918,12850,0,24,0,D
919,12900,0,18,0,D
920,12950,0,12,0,D
921,13000,1,36,1,E
922,13050,1,30,1,E
923,13100,1,24,1,E
924,13150,1,18,1,E
925,13200,1,12,1,E
926,13250,1,36,1,E
927,13300,1,30,1,E
928,13350,1,24,1,E
929,13400,1,18,1,E
930,13450,1,12,1,E
931,13500,2,36,2,F
932,13550,2,30,2,F
933,13600,2,24,2,F
934,13650,2,18,2,F
935,13700,2,12,2,F
936,13750,2,36,2,F
937,13800,2,30,2,F
938,13850,2,24,2,F
939,13900,2,18,2,F
940,13950,2,12,2,F
941,14000,3,36,3,C
942,14050,3,30,3,C
943,14100,3,24,3,C
944,14150,3,18,3,C
945,14200,3,12,3,C
946,14250,3,36,3,C
947,14300,3,30,3,C
948,14350,3,24,3,C
949,14400,3,18,3,C
950,14450,3,12,3,C
951,14500,4,36,4,D
952,14550,4,30,4,D
953,14600,4,24,4,D
954,14650,4,18,4,D
955,14700,4,12,4,D
956,14750,4,36,4,D
957,14800,4,30,4,D
958,14850,4,24,4,D
959,14900,4,18,4,D
960,14950,4,12,4,D
961,15000,5,36,5,E
962,15050,5,30,5,E
963,15100,5,24,5,E
964,15150,5,18,5,E
965,15200,5,12,5,E
966,15250,5,36,5,E
967,15300,5,30,5,E
968,15350,5,24,5,E
969,15400,5,18,5,E
970,15450,5,12,5,E
971,15500,0,36,0,F
972,15550,0,30,0,F
973,15600,0,24,0,F
974,15650,0,18,0,F
975,15700,0,12,0,F
976,15750,0,36,0,F
977,15800,0,30,0,F
978,15850,0,24,0,F
979,15900,0,18,0,F
980,15950,0,12,0,F
981,16000,1,36,1,C
982,16050,1,30,1,C
983,16100,1,24,1,C
984,16150,1,18,1,C
985,16200,1,12,1,C
986,16250,1,36,1,C
987,16300,1,30,1,C
988,16350,1,24,1,C
989,16400,1,18,1,C
990,16450,1,12,1,C
991,16500,2,36,2,D
992,16550,2,30,2,D
993,16600,2,24,2,D
994,16650,2,18,2,D
995,16700,2,12,2,D
996,16750,2,36,2,D
997,16800,2,30,2,D
998,16850,2,24,2,D
999,16900,2,18,2,D
1000,16950,2,12,2,D
1001,17000,3,36,3,E
1002,17050,3,30,3,E
1003,17100,3,24,3,E
1004,17150,3,18,3,E
1005,17200,3,12,3,E
1006,17250,3,36,3,E
1007,17300,3,30,3,E
1008,17350,3,24,3,E
1009,17400,3,18,3,E
1010,17450,3,12,3,E
1011,17500,4,36,4,F
1012,17550,4,30,4,F
1013,17600,4,24,4,F
1014,17650,4,18,4,F
1015,17700,4,12,4,F
1016,17750,4,36,4,F
1017,17800,4,30,4,F
1018,17850,4,24,4,F
1019,17900,4,18,4,F
1020,17950,4,12,4,F
1021,18000,5,36,5,C
1022,18050,5,30,5,C
1023,18100,5,24,5,C
1024,18150,5,18,5,C
1025,18200,5,12,5,C
1026,18250,5,36,5,C
1027,18300,5,30,5,C
1028,18350,5,24,5,C
1029,18400,5,18,5,C
1030,18450,5,12,5,C
1031,18500,0,36,0,D
1032,18550,0,30,0,D
1033,18600,0,24,0,D
1034,18650,0,18,0,D
1035,18700,0,12,0,D
1036,18750,0,36,0,D
1037,18800,0,30,0,D
1038,18850,0,24,0,D
1039,18900,0,18,0,D
1040,18950,0,12,0,D
1041,19000,1,36,1,E
1042,19050,1,30,1,E
1043,19100,1,24,1,E
1044,19150,1,18,1,E
1045,19200,1,12,1,E
1046,19250,1,36,1,E
1047,19300,1,30,1,E
1048,19350,1,24,1,E
1049,19400,1,18,1,E
1050,19450,1,12,1,E
1051,19500,2,36,2,F
1052,19550,2,30,2,F
1053,19600,2,24,2,F
1054,19650,2,18,2,F
1055,19700,2,12,2,F
1056,19750,2,36,2,F
1057,19800,2,30,2,F
1058,19850,2,24,2,F
1059,19900,2,18,2,F
1060,19950,2,12,2,F
1061,20000,3,36,3,C
1062,20050,3,30,3,C
1063,20100,3,24,3,C
1064,20150,3,18,3,C
1065,20200,3,12,3,C
1066,20250,3,36,3,C
1067,20300,3,30,3,C
1068,20350,3,24,3,C
1069,20400,3,18,3,C
1070,20450,3,12,3,C
1071,20500,4,36,4,D
1072,20550,4,30,4,D
1073,20600,4,24,4,D
1074,20650,4,18,4,D
1075,20700,4,12,4,D
1076,20750,4,36,4,D
1077,20800,4,30,4,D
